CREATED_BY,CREATED_DATE,CD_FORMNAME,CD_COLUMNNO,CD_PART,CD_START_FIN_YEAR,CD_END_FIN_YEAR,CD_DESCRIPTION
CBDCS,2012-07-04 12:31:43,SFR 5.8,8,1,2009,,Laboratories Recharge  #
CBDCS,2012-05-29 10:07:26,SFR 5.1A,0,1,2009,,(A)  Statistics
CBDCS,2012-05-29 10:07:26,SFR 5.1A,1,1,2009,,Total
CBDCS,2012-05-29 10:07:26,SFR 5.1B,0,1,2009,,(B)  Analysis of Staff and Pay
CBDCS,2012-05-29 10:07:26,SFR 5.1B,1,1,2009,,Average Staff for Year (WTE)
CBDCS,2012-05-29 10:07:26,SFR 5.1B,2,1,2009,,Total Pay # 
CBDCS,2012-05-29 10:07:26,SFR 5.2,0,1,2009,,Department
CBDCS,2012-05-29 10:07:26,SFR 5.2,1,1,2009,,Pay #
CBDCS,2012-05-29 10:07:26,SFR 5.2,2,1,2009,,Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.2,3,1,2009,,No. Cost Units
CBDCS,2012-05-29 10:07:26,SFR 5.3,0,1,2009,,Specialty Group
CBDCS,2012-05-29 10:07:26,SFR 5.3,1,1,2009,,Staffed Bed Days  
CBDCS,2012-05-29 10:07:26,SFR 5.3,2,1,2009,,Occupied Bed Days  
CBDCS,2012-05-29 10:07:26,SFR 5.3,3,1,2009,,No. of Discharges  
CBDCS,2012-05-29 10:07:26,SFR 5.3,4,1,2009,,Theatre Hours Used  
CBDCS,2012-05-29 10:07:26,SFR 5.3,5,1,2009,,Medical & Dental Staff  WTE
CBDCS,2012-05-29 10:07:26,SFR 5.3,6,1,2009,,Nursing Staff  WTE
CBDCS,2012-05-29 10:07:26,SFR 5.3,7,1,2009,,Medical & Dental Staff #
CBDCS,2012-05-29 10:07:26,SFR 5.3,8,1,2009,,Nursing Staff  #
CBDCS,2012-05-29 10:07:26,SFR 5.3,9,1,2009,,Pharmacy Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.3,10,1,2009,,AHP Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.3,11,1,2009,,Other Direct Care #
CBDCS,2012-05-29 10:07:26,SFR 5.3,12,1,2009,,Theatre Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.3,13,1,2009,,Laboratories Recharge  #
CBDCS,2012-05-29 10:07:26,SFR 5.3,14,1,2009,,Total Direct Costs #
CBDCS,2012-05-29 10:07:26,SFR 5.3,15,1,2009,,Total Allocated Costs #
CBDCS,2012-05-29 10:07:26,SFR 5.3,16,1,2009,,Total Costs  #
CBDCS,2012-05-29 10:07:26,SFR 5.3,17,1,2009,,Income ACT  #
CBDCS,2012-05-29 10:07:26,SFR 5.3,18,1,2009,,Income Other  #
CBDCS,2012-05-29 10:07:26,SFR 5.3,19,1,2009,,Net Total Specialty Cost #
CBDCS,2012-05-29 10:07:26,SFR 5.5,0,1,2009,,Specialty Group
CBDCS,2012-05-29 10:07:26,SFR 5.5,1,1,2009,,No. of Cases  
CBDCS,2012-05-29 10:07:26,SFR 5.5,2,1,2009,,Theatre Hours Used  
CBDCS,2012-05-29 10:07:26,SFR 5.5,3,1,2009,,Medical & Dental Staff  WTE
CBDCS,2012-05-29 10:07:26,SFR 5.5,4,1,2009,,Nursing Staff  WTE
CBDCS,2012-05-29 10:07:26,SFR 5.5,5,1,2009,,Medical & Dental Staff #
CBDCS,2012-05-29 10:07:26,SFR 5.5,6,1,2009,,Nursing Staff  #
CBDCS,2012-05-29 10:07:26,SFR 5.5,7,1,2009,,Pharmacy Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.5,8,1,2009,,AHP Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.5,9,1,2009,,Other Direct Care #
CBDCS,2012-05-29 10:07:26,SFR 5.5,10,1,2009,,Theatre Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.5,11,1,2009,,Laboratories Recharge  #
CBDCS,2012-05-29 10:07:26,SFR 5.5,12,1,2009,,Total Direct Costs #
CBDCS,2012-05-29 10:07:26,SFR 5.5,13,1,2009,,Total Allocated Costs #
CBDCS,2012-05-29 10:07:26,SFR 5.5,14,1,2009,,Total Costs  #
CBDCS,2012-05-29 10:07:26,SFR 5.5,15,1,2009,,Income ACT  #
CBDCS,2012-05-29 10:07:26,SFR 5.5,16,1,2009,,Income Other  #
CBDCS,2012-05-29 10:07:26,SFR 5.5,17,1,2009,,Net Total Specialty Cost #
CBDCS,2012-05-29 10:07:26,SFR 5.6,0,1,2009,,Specialty Group
CBDCS,2012-05-29 10:07:26,SFR 5.6,1,1,2009,,Total Attendances  
CBDCS,2012-05-29 10:07:26,SFR 5.6,2,1,2009,,Theatre Hours Used  
CBDCS,2012-05-29 10:07:26,SFR 5.6,3,1,2009,,Medical & Dental Staff  WTE
CBDCS,2012-05-29 10:07:26,SFR 5.6,4,1,2009,,Nursing Staff  WTE
CBDCS,2012-05-29 10:07:26,SFR 5.6,5,1,2009,,Medical & Dental Staff #
CBDCS,2012-05-29 10:07:26,SFR 5.6,6,1,2009,,Nursing Staff  #
CBDCS,2012-05-29 10:07:26,SFR 5.6,7,1,2009,,Pharmacy Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.6,8,1,2009,,AHP Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.6,9,1,2009,,Other Direct Care #
CBDCS,2012-05-29 10:07:26,SFR 5.6,10,1,2009,,Theatre Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.6,11,1,2009,,Laboratories Recharge  #
CBDCS,2012-05-29 10:07:26,SFR 5.6,12,1,2009,,Total Direct Costs #
CBDCS,2012-05-29 10:07:26,SFR 5.6,13,1,2009,,Total Allocated Costs #
CBDCS,2012-05-29 10:07:26,SFR 5.6,14,1,2009,,Total Costs  #
CBDCS,2012-05-29 10:07:26,SFR 5.6,15,1,2009,,INCOME ACT  #
CBDCS,2012-05-29 10:07:26,SFR 5.6,16,1,2009,,INCOME OTHER  #
CBDCS,2012-05-29 10:07:26,SFR 5.6,17,1,2009,,Net Total Specialty Cost #
CBDCS,2012-05-29 10:07:26,SFR 5.7,0,1,2009,,Specialty Group
CBDCS,2012-05-29 10:07:26,SFR 5.7,1,1,2009,,Total Attendances  
CBDCS,2012-05-29 10:07:26,SFR 5.7,2,1,2009,,No. of New Attendances 
CBDCS,2012-05-29 10:07:26,SFR 5.7,3,1,2009,2011,Medical & Dental Staff  WTE
CBDCS,2012-05-29 10:07:26,SFR 5.7,4,1,2009,2011,Nursing Staff  WTE
CBDCS,2012-05-29 10:07:26,SFR 5.7,5,1,2009,2011,Medical & Dental Staff #
CBDCS,2012-05-29 10:07:26,SFR 5.7,6,1,2009,2011,Nursing Staff  #
CBDCS,2012-05-29 10:07:26,SFR 5.7,7,1,2009,2011,Pharmacy Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.7,8,1,2009,2011,AHP Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.7,9,1,2009,2011,Other Direct Care #
CBDCS,2012-05-29 10:07:26,SFR 5.7,10,1,2009,2011,Laboratories Recharge  #
CBDCS,2012-05-29 10:07:26,SFR 5.7,11,1,2009,2011,Total Direct Costs #
CBDCS,2012-05-29 10:07:26,SFR 5.7,12,1,2009,2011,Total Allocated Costs #
CBDCS,2012-05-29 10:07:26,SFR 5.7,13,1,2009,2011,Total Costs  #
CBDCS,2012-05-29 10:07:26,SFR 5.7,14,1,2009,2011,Income ACT  #
CBDCS,2012-05-29 10:07:26,SFR 5.7,15,1,2009,2011,Income Other  #
CBDCS,2012-05-29 10:07:26,SFR 5.7,16,1,2009,2011,Net Total Specialty Cost #
CBDCS,2012-05-29 10:07:26,SFR 5.7N,0,1,2009,,Specialty Group
CBDCS,2012-05-29 10:07:26,SFR 5.7N,1,1,2009,,Total Attendances  
CBDCS,2012-05-29 10:07:26,SFR 5.7N,2,1,2009,,No. of New Attendances 
CBDCS,2012-05-29 10:07:26,SFR 5.7N,3,1,2009,,Nursing Staff  WTE
CBDCS,2012-05-29 10:07:26,SFR 5.7N,4,1,2009,,Nursing Staff  #
CBDCS,2012-05-29 10:07:26,SFR 5.7N,5,1,2009,,Pharmacy Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.7N,6,1,2009,,AHP Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.7N,7,1,2009,,Other Direct Care #
CBDCS,2012-05-29 10:07:26,SFR 5.7N,8,1,2009,,Laboratories Recharge  #
CBDCS,2012-05-29 10:07:26,SFR 5.7N,9,1,2009,,Total Direct Costs #
CBDCS,2012-05-29 10:07:26,SFR 5.7N,10,1,2009,,Total Allocated Costs #
CBDCS,2012-05-29 10:07:26,SFR 5.7N,11,1,2009,,Total Costs  #
CBDCS,2012-05-29 10:07:26,SFR 5.7N,12,1,2009,,Income ACT  #
CBDCS,2012-05-29 10:07:26,SFR 5.7N,13,1,2009,,Income Other  #
CBDCS,2012-05-29 10:07:26,SFR 5.7N,14,1,2009,,Net Total Specialty Cost #
CBDCS,2012-05-29 10:07:26,SFR 5.8,0,1,2009,,Part 1 Discipline
CBDCS,2012-05-29 10:07:26,SFR 5.8,1,1,2009,,Total Attendances  
CBDCS,2012-05-29 10:07:26,SFR 5.8,2,1,2009,,No. of New Attendances 
CBDCS,2012-05-29 10:07:26,SFR 5.8,3,1,2009,,Medical & Dental Staff #
CBDCS,2012-05-29 10:07:26,SFR 5.8,4,1,2009,,Nursing Staff  #
CBDCS,2012-05-29 10:07:26,SFR 5.8,5,1,2009,,Pharmacy Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.8,6,1,2009,,AHP Staff & Direct Supplies #
CBDCS,2012-05-29 10:07:26,SFR 5.8,7,1,2009,,Other Direct Care #
CBDCS,2012-05-29 10:07:26,SFR 5.8,9,1,2009,,Total Direct Costs #
CBDCS,2012-05-29 10:07:26,SFR 5.8,10,1,2009,,Total Allocated Costs #
CBDCS,2012-05-29 10:07:26,SFR 5.8,11,1,2009,,Total Costs  #
CBDCS,2012-05-29 10:07:26,SFR 5.8,12,1,2009,,Income ACT  #
CBDCS,2012-05-29 10:07:26,SFR 5.8,13,1,2009,,Income Other  #
CBDCS,2012-05-29 10:07:26,SFR 5.8,14,1,2009,,Net Total Specialty Cost #
CBDCS,2012-05-29 10:07:26,SFR 5.8,0,2,2009,,Part 2 Re-Analysis by Programme
